,Date,UTX,Mkt.RF,SMB,HML,fit,lwr,upr,correct,fitted,,,
141,7/22/2005,-1.281354608,0.56,0.89,0.71,0.590630543,-1.266955471,2.448216556,FALSE,0.590630543,TRUE,,
142,7/25/2005,-1.378580753,-0.43,-0.51,0.18,-0.27937978,-2.112244551,1.55348499,TRUE,-0.27937978,FALSE,,
143,7/26/2005,-0.194278531,0.18,0.29,0.16,0.16168544,-1.668959876,1.992330757,FALSE,0.16168544,TRUE,,
144,7/27/2005,0.875997762,0.43,-0.37,0,0.434581763,-1.401408673,2.2705722,TRUE,0.434581763,TRUE,,
145,7/28/2005,1.047268424,0.7,0.48,-0.1,0.533471766,-1.299258249,2.366201782,TRUE,0.533471766,TRUE,,
146,7/29/2005,-1.292529703,-0.64,0.25,0.07,-0.610389131,-2.448089167,1.227310904,TRUE,-0.610389131,FALSE,,
147,8/1/2005,-1.350948197,0.19,0.27,-0.17,0.074860694,-1.755651618,1.905373007,FALSE,0.074860694,TRUE,,
148,8/2/2005,0.434974685,0.71,0.02,0.3,0.726398514,-1.109778629,2.562575658,TRUE,0.726398514,TRUE,,
149,8/3/2005,-0.297842512,-0.03,-0.64,0.07,0.072001085,-1.764988171,1.908990342,FALSE,0.072001085,FALSE,,
150,8/4/2005,-1.181165759,-0.76,-0.83,0.38,-0.477075587,-2.317616892,1.363465718,TRUE,-0.477075587,FALSE,,
151,8/5/2005,-0.322693651,-0.86,-0.29,-0.1,-0.787480515,-2.623563326,1.048602296,TRUE,-0.787480515,TRUE,,
152,8/8/2005,-0.054365047,-0.32,0.01,0.21,-0.242108389,-2.072953808,1.58873703,TRUE,-0.242108389,TRUE,,
153,8/9/2005,0.831582217,0.53,-0.46,0.01,0.541657359,-1.298260013,2.381574731,TRUE,0.541657359,FALSE,,
154,8/10/2005,0.416844076,-0.05,-0.01,0.4,0.064725909,-1.767823773,1.897275591,TRUE,0.064725909,TRUE,,
155,8/11/2005,3.242260304,0.73,0.17,-0.1,0.604105463,-1.22847339,2.436684317,TRUE,0.604105463,TRUE,,
156,8/12/2005,0.263406889,-0.52,-0.37,0.17,-0.384263089,-2.215982269,1.447456092,FALSE,-0.384263089,TRUE,,
157,8/15/2005,-0.072165764,0.25,0.48,-0.21,0.08857578,-1.744532913,1.921684474,FALSE,0.08857578,TRUE,,
158,8/16/2005,-0.586747741,-1.16,-0.41,0.1,-0.985562162,-2.824975453,0.85385113,TRUE,-0.985562162,FALSE,,
159,8/17/2005,0.73814012,-0.07,0.11,-0.46,-0.22768163,-2.063772118,1.608408859,FALSE,-0.22768163,FALSE,,
160,8/18/2005,-0.229855679,-0.22,-0.45,0.09,-0.122416166,-1.954356808,1.709524476,TRUE,-0.122416166,TRUE,,
161,8/19/2005,0.439890407,0.18,0.04,0.24,0.220441924,-1.609833813,2.050717661,TRUE,0.220441924,FALSE,,
162,8/22/2005,0.242077152,0.24,0.49,0.16,0.188764559,-1.644513906,2.022043024,TRUE,0.188764559,TRUE,,
163,8/23/2005,-0.681504259,-0.3,-0.02,0.02,-0.276485386,-2.106364058,1.553393287,TRUE,-0.276485386,FALSE,,
164,8/24/2005,-1.543692842,-0.45,0.44,0.17,-0.43297392,-2.272343769,1.406395928,TRUE,-0.43297392,TRUE,,
165,8/25/2005,-0.253674003,0.21,0.12,0.23,0.23377369,-1.596565053,2.064112433,FALSE,0.23377369,TRUE,,
166,8/26/2005,-0.677855879,-0.68,-0.56,-0.13,-0.594070803,-2.430163248,1.242021641,TRUE,-0.594070803,FALSE,,
167,8/29/2005,0.128399882,0.6,0.35,-0.19,0.433089065,-1.398809436,2.264987567,TRUE,0.433089065,FALSE,,
168,8/30/2005,-0.925507599,-0.25,-0.02,0.39,-0.119974149,-1.952770831,1.712822532,TRUE,-0.119974149,FALSE,,
169,8/31/2005,0.190500274,1.16,0.69,-0.1,0.925357796,-0.9133826,2.764098192,TRUE,0.925357796,FALSE,,
170,9/1/2005,0.026650407,0.22,-0.04,0.38,0.310102412,-1.522811566,2.14301639,TRUE,0.310102412,TRUE,,
171,9/2/2005,1.137644206,-0.37,-0.29,-0.1,-0.338886188,-2.170231006,1.49245863,FALSE,-0.338886188,TRUE,,
172,9/6/2005,0.826172976,1.17,0.24,-0.46,0.889433648,-0.954054319,2.732921615,TRUE,0.889433648,FALSE,,
173,9/7/2005,0.542219154,0.27,0.1,-0.17,0.171773763,-1.658231339,2.001778865,TRUE,0.171773763,TRUE,,
174,9/8/2005,-0.869471247,-0.35,-0.09,-0.07,-0.339448395,-2.169908457,1.491011666,TRUE,-0.339448395,FALSE,,
175,9/9/2005,1.098667946,0.77,-0.12,0.27,0.791845372,-1.046679814,2.630370557,TRUE,0.791845372,FALSE,,
176,9/12/2005,-0.211784875,-0.08,0.53,-0.42,-0.283351801,-2.123815392,1.557111789,TRUE,-0.283351801,FALSE,,
177,9/13/2005,0.322001897,-0.72,-0.21,0.14,-0.598622073,-2.431825111,1.234580966,FALSE,-0.598622073,FALSE,,
